Zip,Total,White,Black,Asian,Biracial,Other,state_name,Male,Female,Age,Home Price,Houses,Household Income
65657,148,148,0,0,0,0,Missouri,63,85,44.2,100000.0,54.0,48981.0
65663,2814,2748,0,23,33,10,Missouri,1332,1482,34.2,140300.0,882.0,63447.0
65669,2048,1985,0,0,14,49,Missouri,809,1239,45.3,170100.0,822.0,62595.0
65680,1116,1023,0,0,62,31,Missouri,569,547,60.4,85800.0,571.0,40028.0
65685,706,696,0,0,10,0,Missouri,326,380,39.7,99200.0,256.0,49225.0
65706,15690,14943,138,87,309,213,Missouri,7864,7826,37.7,129100.0,5858.0,60116.0
65713,2462,2439,3,2,11,7,Missouri,1216,1246,42.8,87600.0,908.0,51322.0
65728,0,0,0,0,0,0,Missouri,0,0,,,0.0,
65733,794,775,0,0,19,0,Missouri,425,369,63.9,78600.0,390.0,32824.0
65737,8542,8097,4,37,169,235,Missouri,4219,4323,51.7,174600.0,3411.0,66950.0
65739,1040,1026,0,14,0,0,Missouri,564,476,53.5,151800.0,468.0,63277.0
65744,80,80,0,0,0,0,Missouri,41,39,51.3,95000.0,37.0,43746.0
65774,1124,1081,0,0,37,6,Missouri,523,601,36.8,78900.0,419.0,46420.0
65777,437,392,0,0,45,0,Missouri,243,194,58.3,76600.0,199.0,28233.0
65806,11948,9963,1069,551,242,123,Missouri,5858,6090,25.3,83200.0,6042.0,25692.0
65809,11702,11223,53,163,225,38,Missouri,5510,6192,46.9,280300.0,4710.0,134559.0
65457,115,115,0,0,0,0,Missouri,42,73,57.9,228800.0,43.0,122037.0
65401,33221,29583,1179,1664,489,306,Missouri,17736,15485,31.7,139900.0,12762.0,61878.0
65443,101,101,0,0,0,0,Missouri,36,65,51.3,177200.0,31.0,95355.0
65446,277,267,0,0,10,0,Missouri,125,152,27.7,185600.0,97.0,78794.0
65462,1451,1409,9,0,17,16,Missouri,686,765,47.9,96200.0,646.0,52069.0
65486,3740,3713,0,13,10,4,Missouri,1916,1824,34.6,127700.0,1324.0,67821.0
65548,5654,5460,0,42,41,111,Missouri,2615,3039,43.6,105600.0,2276.0,41639.0
65555,1215,1191,0,3,21,0,Missouri,618,597,40.9,72800.0,476.0,42024.0
65557,114,114,0,0,0,0,Missouri,69,45,58.5,,36.0,
65570,637,606,0,0,31,0,Missouri,324,313,41.1,45000.0,217.0,53570.0
65591,1903,1903,0,0,0,0,Missouri,1012,891,37.3,168100.0,526.0,46205.0
66024,664,564,55,0,32,13,Kansas,380,284,55.5,62400.0,334.0,36094.0
66218,8296,7919,49,98,111,119,Kansas,3961,4335,36.2,278400.0,2666.0,147069.0
66514,1037,946,9,37,17,28,Kansas,551,486,37.9,186600.0,459.0,81087.0
66549,1639,1624,4,0,5,6,Kansas,814,825,39.4,161600.0,680.0,77850.0
66622,100,62,2,34,2,0,Kansas,97,3,54.4,,0.0,
66031,641,392,112,8,88,41,Kansas,613,28,29.6,,0.0,
66045,2159,1571,213,205,119,51,Kansas,931,1228,19.5,,0.0,
66621,689,450,61,74,104,0,Kansas,215,474,19.4,,7.0,
66728,29,29,0,0,0,0,Kansas,8,21,77.1,,21.0,22876.0
66873,255,251,0,0,3,1,Kansas,144,111,45.8,57800.0,98.0,57168.0
66770,1124,1041,18,0,8,57,Kansas,489,635,33.7,89300.0,438.0,57732.0
66870,134,132,0,0,2,0,Kansas,58,76,47.5,,53.0,117566.0
65048,164,164,0,0,0,0,Missouri,107,57,31.7,111300.0,62.0,69619.0
65050,859,835,7,0,0,17,Missouri,447,412,21.1,237500.0,196.0,78034.0
65063,3659,3594,15,0,29,21,Missouri,1842,1817,37.1,162700.0,1209.0,88642.0
65065,6915,6501,114,0,23,277,Missouri,3551,3364,52.8,259300.0,2530.0,76677.0
65069,635,635,0,0,0,0,Missouri,345,290,42.7,131700.0,269.0,61884.0
65072,1278,1219,38,0,0,21,Missouri,629,649,53.6,181700.0,579.0,63415.0
65077,397,359,0,0,38,0,Missouri,192,205,49.3,147500.0,160.0,73069.0
65109,39417,33715,3373,956,1090,283,Missouri,18773,20644,38.6,158500.0,16183.0,74751.0
65201,45159,34947,3594,2851,2277,1490,Missouri,21797,23362,22.8,181200.0,16434.0,56228.0
65236,1516,1388,66,0,62,0,Missouri,721,795,45.1,90000.0,594.0,57254.0
65239,1375,1318,9,0,42,6,Missouri,708,667,36.4,115700.0,491.0,61194.0
